customer_id,first_name,last_name,email,signup_date,country
1,Name1,Surname1,user1@example.com,2023-10-26,Germany
2,Name2,Surname2,user2@example.com,2022-11-05,UK
3,Name3,Surname3,user3@example.com,2024-03-19,Germany
4,Name4,Surname4,user4@example.com,2022-04-09,Canada
5,Name5,Surname5,user5@example.com,2022-05-29,Canada
6,Name6,Surname6,user6@example.com,2025-01-02,USA
7,Name7,Surname7,user7@example.com,2022-07-12,Australia
8,Name8,Surname8,user8@example.com,2024-01-19,UK
9,Name9,Surname9,user9@example.com,2022-04-29,UK
10,Name10,Surname10,user10@example.com,2024-11-05,Germany
11,Name11,Surname11,user11@example.com,2023-03-16,Germany
12,Name12,Surname12,user12@example.com,2022-03-18,Canada
13,Name13,Surname13,user13@example.com,2022-06-26,UK
14,Name14,Surname14,user14@example.com,2024-06-07,USA
15,Name15,Surname15,user15@example.com,2024-05-06,USA
16,Name16,Surname16,user16@example.com,2022-05-24,USA
17,Name17,Surname17,user17@example.com,2023-05-08,Australia
18,Name18,Surname18,user18@example.com,2022-07-05,Canada
19,Name19,Surname19,user19@example.com,2024-05-19,UK
20,Name20,Surname20,user20@example.com,2022-05-02,Germany
21,Name21,Surname21,user21@example.com,2022-09-11,Australia
22,Name22,Surname22,user22@example.com,2023-04-03,USA
23,Name23,Surname23,user23@example.com,2022-05-07,UK
24,Name24,Surname24,user24@example.com,2024-03-23,Canada
25,Name25,Surname25,user25@example.com,2022-04-12,Germany
26,Name26,Surname26,user26@example.com,2023-03-29,Canada
27,Name27,Surname27,user27@example.com,2022-04-06,USA
28,Name28,Surname28,user28@example.com,2022-09-30,Canada
29,Name29,Surname29,user29@example.com,2023-08-17,Germany
30,Name30,Surname30,user30@example.com,2024-05-08,Germany
31,Name31,Surname31,user31@example.com,2022-10-23,Germany
32,Name32,Surname32,user32@example.com,2022-08-30,UK
33,Name33,Surname33,user33@example.com,2023-09-24,Australia
34,Name34,Surname34,user34@example.com,2023-01-06,UK
35,Name35,Surname35,user35@example.com,2022-07-31,USA
36,Name36,Surname36,user36@example.com,2023-01-20,UK
37,Name37,Surname37,user37@example.com,2024-02-02,Australia
38,Name38,Surname38,user38@example.com,2022-07-19,Canada
39,Name39,Surname39,user39@example.com,2022-05-09,USA
40,Name40,Surname40,user40@example.com,2022-05-03,UK
41,Name41,Surname41,user41@example.com,2023-02-26,USA
42,Name42,Surname42,user42@example.com,2024-10-13,UK
43,Name43,Surname43,user43@example.com,2024-12-24,UK
44,Name44,Surname44,user44@example.com,2024-05-25,Australia
45,Name45,Surname45,user45@example.com,2023-10-06,Germany
46,Name46,Surname46,user46@example.com,2024-08-11,Canada
47,Name47,Surname47,user47@example.com,2024-07-17,Australia
48,Name48,Surname48,user48@example.com,2024-01-11,Australia
49,Name49,Surname49,user49@example.com,2023-09-06,Canada
50,Name50,Surname50,user50@example.com,2023-05-24,Canada
51,Name51,Surname51,user51@example.com,2023-01-04,Canada
52,Name52,Surname52,user52@example.com,2023-05-15,Australia
53,Name53,Surname53,user53@example.com,2022-06-17,USA
54,Name54,Surname54,user54@example.com,2023-09-07,Australia
55,Name55,Surname55,user55@example.com,2024-12-11,UK
56,Name56,Surname56,user56@example.com,2024-10-10,Australia
57,Name57,Surname57,user57@example.com,2023-12-05,Germany
58,Name58,Surname58,user58@example.com,2024-07-08,Germany
59,Name59,Surname59,user59@example.com,2023-08-13,UK
60,Name60,Surname60,user60@example.com,2022-05-30,Australia
61,Name61,Surname61,user61@example.com,2022-08-30,Germany
62,Name62,Surname62,user62@example.com,2024-11-14,UK
63,Name63,Surname63,user63@example.com,2024-05-06,Australia
64,Name64,Surname64,user64@example.com,2022-12-04,Canada
65,Name65,Surname65,user65@example.com,2023-12-02,USA
66,Name66,Surname66,user66@example.com,2022-11-08,Germany
67,Name67,Surname67,user67@example.com,2024-09-28,UK
68,Name68,Surname68,user68@example.com,2024-05-13,UK
69,Name69,Surname69,user69@example.com,2022-03-22,USA
70,Name70,Surname70,user70@example.com,2022-06-08,Canada
71,Name71,Surname71,user71@example.com,2023-10-05,Germany
72,Name72,Surname72,user72@example.com,2023-11-28,UK
73,Name73,Surname73,user73@example.com,2023-12-19,UK
74,Name74,Surname74,user74@example.com,2024-10-14,UK
75,Name75,Surname75,user75@example.com,2024-07-23,Australia
76,Name76,Surname76,user76@example.com,2022-05-21,Germany
77,Name77,Surname77,user77@example.com,2022-07-11,Australia
78,Name78,Surname78,user78@example.com,2023-07-07,USA
79,Name79,Surname79,user79@example.com,2024-08-28,UK
80,Name80,Surname80,user80@example.com,2022-05-14,UK
81,Name81,Surname81,user81@example.com,2022-05-05,USA
82,Name82,Surname82,user82@example.com,2023-09-27,UK
83,Name83,Surname83,user83@example.com,2024-07-01,USA
84,Name84,Surname84,user84@example.com,2023-08-06,UK
85,Name85,Surname85,user85@example.com,2024-03-01,USA
86,Name86,Surname86,user86@example.com,2023-12-12,Australia
87,Name87,Surname87,user87@example.com,2022-02-16,USA
88,Name88,Surname88,user88@example.com,2024-08-03,Australia
89,Name89,Surname89,user89@example.com,2023-12-29,Canada
90,Name90,Surname90,user90@example.com,2022-12-11,Australia
91,Name91,Surname91,user91@example.com,2022-08-28,Australia
92,Name92,Surname92,user92@example.com,2024-10-08,Canada
93,Name93,Surname93,user93@example.com,2022-05-01,USA
94,Name94,Surname94,user94@example.com,2023-03-23,Canada
95,Name95,Surname95,user95@example.com,2023-08-12,USA
96,Name96,Surname96,user96@example.com,2022-09-22,UK
97,Name97,Surname97,user97@example.com,2023-05-23,UK
98,Name98,Surname98,user98@example.com,2024-03-25,USA
99,Name99,Surname99,user99@example.com,2024-03-11,UK
100,Name100,Surname100,user100@example.com,2024-10-13,Australia
